,學院,semester,參加社團,average,diff
0,地球科學學院,1021,N,74.69846153846154,3.505061188811183
1,地球科學學院,1021,Y,78.20352272727273,3.505061188811183
2,地球科學學院,1022,N,75.36384615384615,1.6185402097902113
3,地球科學學院,1022,Y,76.98238636363637,1.6185402097902113
4,地球科學學院,1031,N,74.97461538461539,0.10981643356643644
5,地球科學學院,1031,Y,75.08443181818183,0.10981643356643644
6,地球科學學院,1032,N,78.25846153846155,-0.48039335664336136
7,地球科學學院,1032,Y,77.77806818181818,-0.48039335664336136
8,地球科學學院,1041,N,80.03923076923077,-1.4858216783216847
9,地球科學學院,1041,Y,78.55340909090908,-1.4858216783216847
10,地球科學學院,1042,N,79.89692307692309,-0.8395367132867193
11,地球科學學院,1042,Y,79.05738636363637,-0.8395367132867193
12,地球科學學院,1051,N,82.74384615384616,-1.0563461538461638
13,地球科學學院,1051,Y,81.6875,-1.0563461538461638
14,地球科學學院,1052,N,77.73384615384614,2.81592657342658
15,地球科學學院,1052,Y,80.54977272727272,2.81592657342658
16,工學院,1021,N,74.00882352941177,1.4784491978609537
17,工學院,1021,Y,75.48727272727272,1.4784491978609537
18,工學院,1022,N,71.77411764705883,2.2009625668449075
19,工學院,1022,Y,73.97508021390374,2.2009625668449075
20,工學院,1031,N,72.02499999999999,-1.261363636363626
21,工學院,1031,Y,70.76363636363637,-1.261363636363626
22,工學院,1032,N,73.91985294117647,-0.20653743315509132
23,工學院,1032,Y,73.71331550802138,-0.20653743315509132
24,工學院,1041,N,71.78529411764706,2.6875401069518716
25,工學院,1041,Y,74.47283422459893,2.6875401069518716
26,工學院,1042,N,73.75676470588235,1.6840909090909122
27,工學院,1042,Y,75.44085561497326,1.6840909090909122
28,工學院,1051,N,77.07588235294118,0.6251336898395721
29,工學院,1051,Y,77.70101604278075,0.6251336898395721
30,工學院,1052,N,75.8625,2.1962165775401132
31,工學院,1052,Y,78.05871657754011,2.1962165775401132
32,文學院,1021,N,85.02,-3.1573214285714215
33,文學院,1021,Y,81.86267857142857,-3.1573214285714215
34,文學院,1022,N,84.04727272727273,-3.3823620129870164
35,文學院,1022,Y,80.66491071428571,-3.3823620129870164
36,文學院,1031,N,86.11636363636363,-5.429399350649334
37,文學院,1031,Y,80.6869642857143,-5.429399350649334
38,文學院,1032,N,85.84818181818183,-5.186485389610397
39,文學院,1032,Y,80.66169642857143,-5.186485389610397
40,文學院,1041,N,83.05090909090909,-0.7858198051947909
41,文學院,1041,Y,82.2650892857143,-0.7858198051947909
42,文學院,1042,N,85.63272727272728,-3.2051379870130035
43,文學院,1042,Y,82.42758928571428,-3.2051379870130035
44,文學院,1051,N,80.93727272727273,3.0417451298701224
45,文學院,1051,Y,83.97901785714285,3.0417451298701224
46,文學院,1052,N,86.75,-1.8232142857142861
47,文學院,1052,Y,84.92678571428571,-1.8232142857142861
48,理學院,1021,N,73.76424242424241,0.9488610240334481
49,理學院,1021,Y,74.71310344827586,0.9488610240334481
50,理學院,1022,N,74.50242424242424,-0.6252518286311357
51,理學院,1022,Y,73.8771724137931,-0.6252518286311357
52,理學院,1031,N,70.20181818181818,0.8565266457680139
53,理學院,1031,Y,71.0583448275862,0.8565266457680139
54,理學院,1032,N,76.2169696969697,-1.677797283176588
55,理學院,1032,Y,74.53917241379311,-1.677797283176588
56,理學院,1041,N,74.04393939393938,1.7004054336468215
57,理學院,1041,Y,75.7443448275862,1.7004054336468215
58,理學院,1042,N,76.13333333333334,-0.6827126436781725
59,理學院,1042,Y,75.45062068965517,-0.6827126436781725
60,理學院,1051,N,79.85484848484849,-1.31008986415884
61,理學院,1051,Y,78.54475862068965,-1.31008986415884
62,理學院,1052,N,77.09878787878789,0.1284535005224683
63,理學院,1052,Y,77.22724137931036,0.1284535005224683
64,生醫理工學院,1021,N,77.24777777777778,-4.110577777777777
65,生醫理工學院,1021,Y,73.1372,-4.110577777777777
66,生醫理工學院,1022,N,79.11,-3.2235999999999905
67,生醫理工學院,1022,Y,75.88640000000001,-3.2235999999999905
68,生醫理工學院,1031,N,77.81,-6.117200000000011
69,生醫理工學院,1031,Y,71.69279999999999,-6.117200000000011
70,生醫理工學院,1032,N,75.69333333333333,-5.864933333333326
71,生醫理工學院,1032,Y,69.8284,-5.864933333333326
72,生醫理工學院,1041,N,80.51666666666667,-3.018666666666661
73,生醫理工學院,1041,Y,77.498,-3.018666666666661
74,生醫理工學院,1042,N,80.75111111111111,-0.7147111111111144
75,生醫理工學院,1042,Y,80.0364,-0.7147111111111144
76,生醫理工學院,1051,N,81.69888888888889,-0.125288888888889
77,生醫理工學院,1051,Y,81.5736,-0.125288888888889
78,生醫理工學院,1052,N,80.80666666666667,1.0317333333333352
79,生醫理工學院,1052,Y,81.83840000000001,1.0317333333333352
80,管理學院,1021,N,79.06619047619047,-0.289213732004427
81,管理學院,1021,Y,78.77697674418604,-0.289213732004427
82,管理學院,1022,N,76.60000000000001,-0.7652558139535017
83,管理學院,1022,Y,75.8347441860465,-0.7652558139535017
84,管理學院,1031,N,76.27666666666667,-2.1040155038759707
85,管理學院,1031,Y,74.1726511627907,-2.1040155038759707
86,管理學院,1032,N,78.59253968253968,-1.6565396825396732
87,管理學院,1032,Y,76.936,-1.6565396825396732
88,管理學院,1041,N,81.21587301587302,-2.4133148763381342
89,管理學院,1041,Y,78.80255813953488,-2.4133148763381342
90,管理學院,1042,N,83.03428571428572,-2.2247043189368725
91,管理學院,1042,Y,80.80958139534884,-2.2247043189368725
92,管理學院,1051,N,83.76015873015874,-0.9701122185308293
93,管理學院,1051,Y,82.7900465116279,-0.9701122185308293
94,管理學院,1052,N,81.9552380952381,-1.0920287929125152
95,管理學院,1052,Y,80.86320930232559,-1.0920287929125152
96,資訊電機學院,1021,N,76.52492753623189,-0.48961108053568125
97,資訊電機學院,1021,Y,76.0353164556962,-0.48961108053568125
98,資訊電機學院,1022,N,75.85971014492753,-0.7433177398642385
99,資訊電機學院,1022,Y,75.1163924050633,-0.7433177398642385
100,資訊電機學院,1031,N,76.5372463768116,-2.2305375160521095
101,資訊電機學院,1031,Y,74.30670886075949,-2.2305375160521095
102,資訊電機學院,1032,N,78.61072463768116,-1.3678132452760963
103,資訊電機學院,1032,Y,77.24291139240506,-1.3678132452760963
104,資訊電機學院,1041,N,81.43028985507246,-1.7917455512749996
105,資訊電機學院,1041,Y,79.63854430379746,-1.7917455512749996
106,資訊電機學院,1042,N,81.65971014492754,-0.04850761328196995
107,資訊電機學院,1042,Y,81.61120253164557,-0.04850761328196995
108,資訊電機學院,1051,N,79.90666666666667,-0.1035654008438911
109,資訊電機學院,1051,Y,79.80310126582278,-0.1035654008438911
110,資訊電機學院,1052,N,79.12246376811594,-0.14170427444506117
111,資訊電機學院,1052,Y,78.98075949367087,-0.14170427444506117
