,學院,semester,系學會社團,average,diff
0,地球科學學院,1021,N,77.42933333333333,0.5826309523809527
1,地球科學學院,1021,Y,78.01196428571428,0.5826309523809527
2,地球科學學院,1022,N,76.946,-0.3101071428571487
3,地球科學學院,1022,Y,76.63589285714285,-0.3101071428571487
4,地球科學學院,1031,N,73.83288888888889,2.231753968253969
5,地球科學學院,1031,Y,76.06464285714286,2.231753968253969
6,地球科學學院,1032,N,77.104,1.3272499999999923
7,地球科學學院,1032,Y,78.43124999999999,1.3272499999999923
8,地球科學學院,1041,N,78.506,0.43042857142856406
9,地球科學學院,1041,Y,78.93642857142856,0.43042857142856406
10,地球科學學院,1042,N,78.02844444444443,2.0506626984127223
11,地球科學學院,1042,Y,80.07910714285715,2.0506626984127223
12,地球科學學院,1051,N,79.80888888888889,3.633432539682545
13,地球科學學院,1051,Y,83.44232142857143,3.633432539682545
14,地球科學學院,1052,N,78.77977777777778,2.538615079365073
15,地球科學學院,1052,Y,81.31839285714285,2.538615079365073
16,工學院,1021,N,75.59860606060606,-1.4324949494949522
17,工學院,1021,Y,74.1661111111111,-1.4324949494949522
18,工學院,1022,N,73.0169696969697,1.0516969696969767
19,工學院,1022,Y,74.06866666666667,1.0516969696969767
20,工學院,1031,N,71.16339393939393,-0.17961616161615268
21,工學院,1031,Y,70.98377777777777,-0.17961616161615268
22,工學院,1032,N,74.73078787878788,-2.7267878787878885
23,工學院,1032,Y,72.00399999999999,-2.7267878787878885
24,工學院,1041,N,73.2129696969697,1.5390303030303158
25,工學院,1041,Y,74.75200000000001,1.5390303030303158
26,工學院,1042,N,74.82290909090909,0.4784242424242393
27,工學院,1042,Y,75.30133333333333,0.4784242424242393
28,工學院,1051,N,77.27678787878789,0.7296565656565548
29,工學院,1051,Y,78.00644444444444,0.7296565656565548
30,工學院,1052,N,76.28975757575758,3.3526868686868596
31,工學院,1052,Y,79.64244444444444,3.3526868686868596
32,文學院,1021,N,83.75625,-2.001805555555549
33,文學院,1021,Y,81.75444444444445,-2.001805555555549
34,文學院,1022,N,83.26416666666667,-2.8535606060606113
35,文學院,1022,Y,80.41060606060606,-2.8535606060606113
36,文學院,1031,N,84.09,-3.6247474747474797
37,文學院,1031,Y,80.46525252525252,-3.6247474747474797
38,文學院,1032,N,84.76166666666667,-4.5176262626262655
39,文學院,1032,Y,80.2440404040404,-4.5176262626262655
40,文學院,1041,N,82.92041666666667,-0.7268813131313152
41,文學院,1041,Y,82.19353535353535,-0.7268813131313152
42,文學院,1042,N,85.18041666666666,-3.0640530303030147
43,文學院,1042,Y,82.11636363636364,-3.0640530303030147
44,文學院,1051,N,83.0325,0.8380050505050605
45,文學院,1051,Y,83.87050505050506,0.8380050505050605
46,文學院,1052,N,86.29833333333333,-1.5014646464646546
47,文學院,1052,Y,84.79686868686868,-1.5014646464646546
48,理學院,1021,N,75.0210447761194,-0.775909640984267
49,理學院,1021,Y,74.24513513513513,-0.775909640984267
50,理學院,1022,N,74.94402985074628,-1.524930751647176
51,理學院,1022,Y,73.4190990990991,-1.524930751647176
52,理學院,1031,N,70.35597014925374,0.8716875084039231
53,理學院,1031,Y,71.22765765765766,0.8716875084039231
54,理學院,1032,N,76.74507462686567,-3.03858814037919
55,理學院,1032,Y,73.70648648648648,-3.03858814037919
56,理學院,1041,N,75.59134328358209,-0.2601721124109133
57,理學院,1041,Y,75.33117117117118,-0.2601721124109133
58,理學院,1042,N,76.98955223880597,-2.264867554121281
59,理學院,1042,Y,74.72468468468469,-2.264867554121281
60,理學院,1051,N,79.95447761194029,-1.8711442786069625
61,理學院,1051,Y,78.08333333333333,-1.8711442786069625
62,理學院,1052,N,78.14537313432835,-1.5105082694635001
63,理學院,1052,Y,76.63486486486485,-1.5105082694635001
64,生醫理工學院,1021,N,75.53727272727272,-3.7172727272727144
65,生醫理工學院,1021,Y,71.82000000000001,-3.7172727272727144
66,生醫理工學院,1022,N,77.93272727272728,-3.380227272727282
67,生醫理工學院,1022,Y,74.5525,-3.380227272727282
68,生醫理工學院,1031,N,74.4609090909091,-3.255075757575767
69,生醫理工學院,1031,Y,71.20583333333333,-3.255075757575767
70,生醫理工學院,1032,N,74.52227272727272,-8.900606060606052
71,生醫理工學院,1032,Y,65.62166666666667,-8.900606060606052
72,生醫理工學院,1041,N,78.48181818181818,-0.5234848484848555
73,生醫理工學院,1041,Y,77.95833333333333,-0.5234848484848555
74,生醫理工學院,1042,N,79.52318181818181,1.990151515151524
75,生醫理工學院,1042,Y,81.51333333333334,1.990151515151524
76,生醫理工學院,1051,N,81.11636363636363,1.3894696969697122
77,生醫理工學院,1051,Y,82.50583333333334,1.3894696969697122
78,生醫理工學院,1052,N,82.20545454545454,-1.8137878787878776
79,生醫理工學院,1052,Y,80.39166666666667,-1.8137878787878776
80,管理學院,1021,N,78.83512987012988,0.01656367825722782
81,管理學院,1021,Y,78.8516935483871,0.01656367825722782
82,管理學院,1022,N,76.36103896103896,-0.7911196062002404
83,管理學院,1022,Y,75.56991935483872,-0.7911196062002404
84,管理學院,1031,N,74.98616883116884,-0.7548785085881917
85,管理學院,1031,Y,74.23129032258065,-0.7548785085881917
86,管理學院,1032,N,78.36194805194805,-2.355254503560957
87,管理學院,1032,Y,76.00669354838709,-2.355254503560957
88,管理學院,1041,N,80.77623376623377,-3.1987337662337723
89,管理學院,1041,Y,77.5775,-3.1987337662337723
90,管理學院,1042,N,82.55266233766234,-2.7775816925010446
91,管理學院,1042,Y,79.7750806451613,-2.7775816925010446
92,管理學院,1051,N,84.31396103896104,-2.923638458315878
93,管理學院,1051,Y,81.39032258064516,-2.923638458315878
94,管理學院,1052,N,82.37168831168832,-2.8270915374947663
95,管理學院,1052,Y,79.54459677419355,-2.8270915374947663
96,資訊電機學院,1021,N,77.04152,-1.9080886274509936
97,資訊電機學院,1021,Y,75.13343137254901,-1.9080886274509936
98,資訊電機學院,1022,N,76.30528,-2.143025098039203
99,資訊電機學院,1022,Y,74.1622549019608,-2.143025098039203
100,資訊電機學院,1031,N,76.54248,-3.4667937254901915
101,資訊電機學院,1031,Y,73.0756862745098,-3.4667937254901915
102,資訊電機學院,1032,N,78.40336,-1.6572815686274538
103,資訊電機學院,1032,Y,76.74607843137255,-1.6572815686274538
104,資訊電機學院,1041,N,80.10072,0.18349568627451163
105,資訊電機學院,1041,Y,80.28421568627451,0.18349568627451163
106,資訊電機學院,1042,N,81.20768,0.9308494117646973
107,資訊電機學院,1042,Y,82.1385294117647,0.9308494117646973
108,資訊電機學院,1051,N,79.57784,0.5713756862745214
109,資訊電機學院,1051,Y,80.14921568627452,0.5713756862745214
110,資訊電機學院,1052,N,79.42208000000001,-0.8862956862745222
111,資訊電機學院,1052,Y,78.53578431372549,-0.8862956862745222
